gene_id	junction_id	chromosome	donor_site	acceptor_site	strand	read_count
ENSMUSG00000025351.14	chr10_128912521_128912674_+	chr10	128912521	128912674	+	1315
ENSMUSG00000025351.14	chr10_128909958_128910394_+	chr10	128909958	128910394	+	1247
ENSMUSG00000025351.14	chr10_128910471_128911451_+	chr10	128910471	128911451	+	1415
ENSMUSG00000025351.14	chr10_128911640_128911794_+	chr10	128911640	128911794	+	1902
ENSMUSG00000025351.14	chr10_128911869_128911967_+	chr10	128911869	128911967	+	1232
ENSMUSG00000025351.14	chr10_128912063_128912160_+	chr10	128912063	128912160	+	1628
ENSMUSG00000059534.8	chr11_4702220_4704156_-	chr11	4704156	4702220	-	818
ENSMUSG00000001891.16	chr11_21329113_21329724_-	chr11	21329724	21329113	-	253
ENSMUSG00000001891.16	chr11_21353456_21354278_-	chr11	21354278	21353456	-	126
ENSMUSG00000015837.15	chr11_50207301_50207406_-	chr11	50207406	50207301	-	1133
ENSMUSG00000015837.15	chr11_50200947_50202398_-	chr11	50202398	50200947	-	1534
ENSMUSG00000015837.15	chr11_50202594_50202813_-	chr11	50202813	50202594	-	1367
ENSMUSG00000015837.15	chr11_50203034_50206022_-	chr11	50206022	50203034	-	1198
ENSMUSG00000015837.15	chr11_50206103_50207159_-	chr11	50207159	50206103	-	864
ENSMUSG00000015837.15	chr11_50207636_50207820_-	chr11	50207820	50207636	-	904
ENSMUSG00000015837.15	chr11_50207916_50210552_-	chr11	50210552	50207916	-	623
ENSMUSG00000020390.12	chr11_51986810_51988611_-	chr11	51988611	51986810	-	428
ENSMUSG00000020390.12	chr11_51988700_51991393_-	chr11	51991393	51988700	-	322
ENSMUSG00000020390.12	chr11_51991483_51995373_-	chr11	51995373	51991483	-	455
ENSMUSG00000020390.12	chr11_51995399_51997817_-	chr11	51997817	51995399	-	457
ENSMUSG00000020390.12	chr11_51997898_52000292_-	chr11	52000292	51997898	-	403
ENSMUSG00000020267.6	chr11_54866600_54869847_+	chr11	54866600	54869847	+	865
ENSMUSG00000020267.6	chr11_54869952_54870188_+	chr11	54869952	54870188	+	1154
ENSMUSG00000018585.9	chr11_55446784_55450456_-	chr11	55450456	55446784	-	972
ENSMUSG00000018585.9	chr11_55450625_55454880_-	chr11	55454880	55450625	-	719
ENSMUSG00000018585.9	chr11_55454956_55461087_-	chr11	55461087	55454956	-	929
ENSMUSG00000048076.14	chr11_59212695_59212820_-	chr11	59212820	59212695	-	1066
ENSMUSG00000048076.14	chr11_59212945_59213142_-	chr11	59213142	59212945	-	928
ENSMUSG00000048076.14	chr11_59213253_59213339_-	chr11	59213339	59213253	-	764
ENSMUSG00000048076.14	chr11_59213523_59228172_-	chr11	59228172	59213523	-	469
ENSMUSG00000018501.17	chr11_62419780_62422874_-	chr11	62422874	62419780	-	227
ENSMUSG00000018501.17	chr11_62423067_62433562_-	chr11	62433562	62423067	-	196
ENSMUSG00000018501.17	chr11_62433699_62438337_-	chr11	62438337	62433699	-	375
ENSMUSG00000018501.17	chr11_62438515_62457147_-	chr11	62457147	62438515	-	157
ENSMUSG00000018501.17	chr11_62391033_62392504_-	chr11	62392504	62391033	-	122
ENSMUSG00000018501.17	chr11_62403851_62404409_-	chr11	62404409	62403851	-	191
ENSMUSG00000018501.17	chr11_62404466_62410819_-	chr11	62410819	62404466	-	303
ENSMUSG00000018501.17	chr11_62410933_62419597_-	chr11	62419597	62410933	-	230
ENSMUSG00000019505.7	chr11_62551595_62552139_+	chr11	62551595	62552139	+	10505
ENSMUSG00000019505.7	chr11_62552805_62553033_-	chr11	62553033	62552805	-	514
ENSMUSG00000060938.14	chr11_68901624_68902269_+	chr11	68901624	68902269	+	1935
ENSMUSG00000060938.14	chr11_68902442_68903178_+	chr11	68902442	68903178	+	2270
ENSMUSG00000060938.14	chr11_68903319_68904364_+	chr11	68903319	68904364	+	2210
ENSMUSG00000018476.7	chr11_69399849_69399939_-	chr11	69399939	69399849	-	78
ENSMUSG00000018774.13	chr11_69664504_69664750_-	chr11	69664750	69664504	-	1189
ENSMUSG00000018774.13	chr11_69664921_69665034_-	chr11	69665034	69664921	-	1534
ENSMUSG00000018774.13	chr11_69665113_69665246_-	chr11	69665246	69665113	-	1770
ENSMUSG00000018774.13	chr11_69665366_69665502_-	chr11	69665502	69665366	-	1433
ENSMUSG00000018774.13	chr11_69665936_69666019_-	chr11	69666019	69665936	-	1448
ENSMUSG00000078812.10	chr11_69917341_69917427_-	chr11	69917427	69917341	-	3351
ENSMUSG00000078812.10	chr11_69917501_69917596_-	chr11	69917596	69917501	-	4300
ENSMUSG00000078812.10	chr11_69917728_69917916_-	chr11	69917916	69917728	-	3176
ENSMUSG00000078812.10	chr11_69918021_69919150_-	chr11	69919150	69918021	-	2942
ENSMUSG00000040746.15	chr11_70650017_70650125_+	chr11	70650017	70650125	+	267
ENSMUSG00000040746.15	chr11_70650219_70650763_+	chr11	70650219	70650763	+	158
ENSMUSG00000040746.15	chr11_70650844_70650921_+	chr11	70650844	70650921	+	220
ENSMUSG00000040746.15	chr11_70649532_70649674_+	chr11	70649532	70649674	+	300
ENSMUSG00000018293.4	chr11_70652221_70652786_-	chr11	70652786	70652221	-	5399
ENSMUSG00000018293.4	chr11_70652979_70654348_-	chr11	70654348	70652979	-	5301
ENSMUSG00000020485.14	chr11_87737668_87738166_+	chr11	87737668	87738166	+	585
ENSMUSG00000020485.14	chr11_87738273_87742795_+	chr11	87738273	87742795	+	374
ENSMUSG00000020485.14	chr11_87742851_87743057_+	chr11	87742851	87743057	+	362
ENSMUSG00000020485.14	chr11_87743111_87743245_+	chr11	87743111	87743245	+	461
ENSMUSG00000069744.7	chr11_97703490_97703787_+	chr11	97703490	97703787	+	808
ENSMUSG00000069744.7	chr11_97703972_97706797_+	chr11	97703972	97706797	+	695
ENSMUSG00000069744.7	chr11_97706905_97711101_+	chr11	97706905	97711101	+	608
ENSMUSG00000069744.7	chr11_97711279_97712436_+	chr11	97711279	97712436	+	637
ENSMUSG00000069744.7	chr11_97712531_97713392_+	chr11	97712531	97713392	+	843
ENSMUSG00000002580.7	chr11_98438145_98438236_-	chr11	98438236	98438145	-	669
ENSMUSG00000002580.7	chr11_98438313_98438646_-	chr11	98438646	98438313	-	457
ENSMUSG00000035530.13	chr11_100320160_100320665_+	chr11	100320160	100320665	+	999
ENSMUSG00000035530.13	chr11_100320829_100320947_+	chr11	100320829	100320947	+	1697
ENSMUSG00000035530.13	chr11_100321049_100321316_+	chr11	100321049	100321316	+	1492
ENSMUSG00000063316.13	chr11_101442456_101442722_+	chr11	101442456	101442722	+	1659
ENSMUSG00000063316.13	chr11_101442805_101443500_+	chr11	101442805	101443500	+	1475
ENSMUSG00000063316.13	chr11_101443670_101445219_+	chr11	101443670	101445219	+	1802
ENSMUSG00000063316.13	chr11_101445330_101445438_+	chr11	101445330	101445438	+	1625
ENSMUSG00000040699.13	chr11_106158833_106158934_-	chr11	106158934	106158833	-	1243
ENSMUSG00000040699.13	chr11_106159074_106159161_-	chr11	106159161	106159074	-	1180
ENSMUSG00000040699.13	chr11_106159206_106159347_-	chr11	106159347	106159206	-	998
ENSMUSG00000040699.13	chr11_106159442_106160050_-	chr11	106160050	106159442	-	571
ENSMUSG00000078619.10	chr11_106264119_106264194_-	chr11	106264194	106264119	-	208
ENSMUSG00000078619.10	chr11_106264296_106264432_-	chr11	106264432	106264296	-	321
ENSMUSG00000078619.10	chr11_106264555_106264671_-	chr11	106264671	106264555	-	264
ENSMUSG00000078619.10	chr11_106264807_106264939_-	chr11	106264939	106264807	-	220
ENSMUSG00000078619.10	chr11_106265037_106265182_-	chr11	106265182	106265037	-	150
ENSMUSG00000078619.10	chr11_106265344_106265659_-	chr11	106265659	106265344	-	191
ENSMUSG00000059923.13	chr11_115645954_115646709_-	chr11	115646709	115645954	-	452
ENSMUSG00000059923.13	chr11_115646878_115649770_-	chr11	115649770	115646878	-	511
ENSMUSG00000059923.13	chr11_115649893_115655357_-	chr11	115655357	115649893	-	339
ENSMUSG00000059923.13	chr11_115655455_115699151_-	chr11	115699151	115655455	-	316
ENSMUSG00000059923.13	chr11_115699356_115708393_-	chr11	115708393	115699356	-	244
ENSMUSG00000016559.14	chr11_116023535_116023624_-	chr11	116023624	116023535	-	3504
ENSMUSG00000016559.14	chr11_116023778_116023881_-	chr11	116023881	116023778	-	3068
ENSMUSG00000016559.14	chr11_116024019_116024378_-	chr11	116024378	116024019	-	2682
ENSMUSG00000056962.11	chr11_116841355_116842331_-	chr11	116842331	116841355	-	216
ENSMUSG00000056962.11	chr11_116839128_116840409_-	chr11	116840409	116839128	-	145
ENSMUSG00000056962.11	chr11_116840545_116841068_-	chr11	116841068	116840545	-	244
ENSMUSG00000062825.15	chr11_120347875_120347968_-	chr11	120347968	120347875	-	6822
ENSMUSG00000062825.15	chr11_120348097_120348424_-	chr11	120348424	120348097	-	7130
ENSMUSG00000020585.4	chr12_8934772_8934865_+	chr12	8934772	8934865	+	1228
ENSMUSG00000020585.4	chr12_8934988_8935986_+	chr12	8934988	8935986	+	1284
ENSMUSG00000020585.4	chr12_8922294_8931627_+	chr12	8922294	8931627	+	977
ENSMUSG00000020585.4	chr12_8931748_8934695_+	chr12	8931748	8934695	+	1207
ENSMUSG00000020585.4	chr12_8936082_8936696_+	chr12	8936082	8936696	+	1334
ENSMUSG00000020585.4	chr12_8936795_8938116_+	chr12	8936795	8938116	+	1446
ENSMUSG00000061477.4	chr12_28631193_28631623_-	chr12	28631623	28631193	-	3451
ENSMUSG00000061477.4	chr12_28631774_28633767_-	chr12	28633767	28631774	-	3735
ENSMUSG00000061477.4	chr12_28633832_28634208_-	chr12	28634208	28633832	-	2966
ENSMUSG00000061477.4	chr12_28634352_28635415_-	chr12	28635415	28634352	-	2777
ENSMUSG00000061477.4	chr12_28635487_28635579_-	chr12	28635579	28635487	-	3012
ENSMUSG00000061477.4	chr12_28635663_28635855_-	chr12	28635855	28635663	-	3343
ENSMUSG00000020577.17	chr12_36015772_36020489_-	chr12	36020489	36015772	-	205
ENSMUSG00000020577.17	chr12_36022833_36023904_-	chr12	36023904	36022833	-	222
ENSMUSG00000020577.17	chr12_36020603_36021800_-	chr12	36021800	36020603	-	243
ENSMUSG00000020577.17	chr12_36021914_36022752_-	chr12	36022752	36021914	-	210
ENSMUSG00000020577.17	chr12_36024072_36042250_-	chr12	36042250	36024072	-	161
ENSMUSG00000034892.8	chr12_69157821_69158660_-	chr12	69158660	69157821	-	2243
ENSMUSG00000034892.8	chr12_69158760_69158996_-	chr12	69158996	69158760	-	1462
ENSMUSG00000021094.10	chr12_72650617_72652234_-	chr12	72652234	72650617	-	242
ENSMUSG00000021094.10	chr12_72652450_72653100_-	chr12	72653100	72652450	-	402
ENSMUSG00000021094.10	chr12_72653223_72656299_-	chr12	72656299	72653223	-	624
ENSMUSG00000021094.10	chr12_72656539_72657327_-	chr12	72657327	72656539	-	325
ENSMUSG00000021094.10	chr12_72657434_72659343_-	chr12	72659343	72657434	-	413
ENSMUSG00000021094.10	chr12_72659496_72664628_-	chr12	72664628	72659496	-	328
ENSMUSG00000021114.9	chr12_78845304_78847766_-	chr12	78847766	78845304	-	434
ENSMUSG00000021114.9	chr12_78847833_78848395_-	chr12	78848395	78847833	-	301
ENSMUSG00000021114.9	chr12_78848499_78849739_-	chr12	78849739	78848499	-	262
ENSMUSG00000021114.9	chr12_78849784_78850471_-	chr12	78850471	78849784	-	221
ENSMUSG00000021114.9	chr12_78850539_78852264_-	chr12	78852264	78850539	-	254
ENSMUSG00000021114.9	chr12_78852344_78857226_-	chr12	78857226	78852344	-	188
ENSMUSG00000021114.9	chr12_78857344_78861418_-	chr12	78861418	78857344	-	101
ENSMUSG00000021250.13	chr12_85474180_85474934_+	chr12	85474180	85474934	+	973
ENSMUSG00000021250.13	chr12_85475186_85475591_+	chr12	85475186	85475591	+	1466
ENSMUSG00000021250.13	chr12_85475699_85475816_+	chr12	85475699	85475816	+	1303
ENSMUSG00000001175.14	chr12_100199716_100202392_+	chr12	100199716	100202392	+	2488
ENSMUSG00000001175.14	chr12_100202423_100203574_+	chr12	100202423	100203574	+	2629
ENSMUSG00000001175.14	chr12_100203718_100205612_+	chr12	100203718	100205612	+	2416
ENSMUSG00000001175.14	chr12_100205719_100206097_+	chr12	100205719	100206097	+	2559
ENSMUSG00000001175.14	chr12_100206233_100206399_+	chr12	100206233	100206399	+	3170
ENSMUSG00000113902.1	chr12_101968210_101969492_-	chr12	101969492	101968210	-	358
ENSMUSG00000021282.17	chr12_111538239_111538354_+	chr12	111538239	111538354	+	654
ENSMUSG00000021282.17	chr12_111538548_111539407_+	chr12	111538548	111539407	+	417
ENSMUSG00000021282.17	chr12_111539687_111539800_+	chr12	111539687	111539800	+	876
ENSMUSG00000021282.17	chr12_111539882_111540129_+	chr12	111539882	111540129	+	524
ENSMUSG00000021282.17	chr12_111540302_111540460_+	chr12	111540302	111540460	+	1013
ENSMUSG00000021282.17	chr12_111540572_111541705_+	chr12	111540572	111541705	+	586
ENSMUSG00000021282.17	chr12_111541845_111542151_+	chr12	111541845	111542151	+	108
ENSMUSG00000021282.17	chr12_111542841_111543099_+	chr12	111542841	111543099	+	160
ENSMUSG00000021282.17	chr12_111543264_111543526_+	chr12	111543264	111543526	+	276
ENSMUSG00000021282.17	chr12_111543661_111544528_+	chr12	111543661	111544528	+	241
ENSMUSG00000015671.11	chr13_14613315_14616011_+	chr13	14613315	14616011	+	1019
ENSMUSG00000015671.11	chr13_14616088_14616736_+	chr13	14616088	14616736	+	625
ENSMUSG00000015671.11	chr13_14616869_14619301_+	chr13	14616869	14619301	+	899
ENSMUSG00000015671.11	chr13_14619424_14620724_+	chr13	14619424	14620724	+	1013
ENSMUSG00000015671.11	chr13_14620806_14623597_+	chr13	14620806	14623597	+	611
ENSMUSG00000015671.11	chr13_14623671_14625202_+	chr13	14623671	14625202	+	958
ENSMUSG00000015671.11	chr13_14625260_14625348_+	chr13	14625260	14625348	+	953
ENSMUSG00000018102.5	chr13_23684621_23692175_+	chr13	23684621	23692175	+	2274
ENSMUSG00000021486.7	chr13_55322281_55322852_+	chr13	55322281	55322852	+	1019
ENSMUSG00000021486.7	chr13_55323078_55324330_+	chr13	55323078	55324330	+	2473
ENSMUSG00000021486.7	chr13_55324444_55324526_+	chr13	55324444	55324526	+	2359
ENSMUSG00000021486.7	chr13_55324605_55324829_+	chr13	55324605	55324829	+	2024
ENSMUSG00000049517.8	chr13_90923199_90923586_+	chr13	90923199	90923586	+	2962
ENSMUSG00000049517.8	chr13_90923746_90924325_+	chr13	90923746	90924325	+	2654
ENSMUSG00000049517.8	chr13_90924446_90924536_+	chr13	90924446	90924536	+	2989
ENSMUSG00000021728.8	chr13_117272099_117273044_+	chr13	117272099	117273044	+	129
ENSMUSG00000021948.17	chr14_30596025_30598717_-	chr14	30598717	30596025	-	118
ENSMUSG00000021948.17	chr14_30598846_30599317_-	chr14	30599317	30598846	-	137
ENSMUSG00000021917.16	chr14_31000222_31000677_-	chr14	31000677	31000222	-	889
ENSMUSG00000021917.16	chr14_31000764_31000843_-	chr14	31000843	31000764	-	601
ENSMUSG00000021917.16	chr14_31000903_31001204_-	chr14	31001204	31000903	-	515
ENSMUSG00000058351.11	chr14_31124609_31128632_-	chr14	31128632	31124609	-	51
ENSMUSG00000050335.17	chr14_47381684_47384601_+	chr14	47381684	47384601	+	5233
ENSMUSG00000050335.17	chr14_47384767_47385524_+	chr14	47384767	47385524	+	4912
ENSMUSG00000050335.17	chr14_47379544_47380052_+	chr14	47379544	47380052	+	3662
ENSMUSG00000050335.17	chr14_47380418_47381595_+	chr14	47380418	47381595	+	5724
ENSMUSG00000021939.8	chr14_63122565_63133315_+	chr14	63122565	63133315	+	1431
ENSMUSG00000021939.8	chr14_63133466_63133964_+	chr14	63133466	63133964	+	1760
ENSMUSG00000021939.8	chr14_63134050_63135607_+	chr14	63134050	63135607	+	2537
ENSMUSG00000021939.8	chr14_63135722_63136406_+	chr14	63135722	63136406	+	1707
ENSMUSG00000021939.8	chr14_63136525_63138032_+	chr14	63136525	63138032	+	2609
ENSMUSG00000021939.8	chr14_63138118_63138350_+	chr14	63138118	63138350	+	2697
ENSMUSG00000021939.8	chr14_63138494_63138998_+	chr14	63138494	63138998	+	2925
ENSMUSG00000021939.8	chr14_63139115_63141733_+	chr14	63139115	63141733	+	2789
ENSMUSG00000021939.8	chr14_63141862_63142231_+	chr14	63141862	63142231	+	2877
ENSMUSG00000022108.8	chr14_73363143_73364541_-	chr14	73364541	73363143	-	6221
ENSMUSG00000022108.8	chr14_73364692_73365751_-	chr14	73365751	73364692	-	10155
ENSMUSG00000022108.8	chr14_73365862_73366320_-	chr14	73366320	73365862	-	7190
ENSMUSG00000022108.8	chr14_73366527_73368298_-	chr14	73368298	73366527	-	7786
ENSMUSG00000022108.8	chr14_73368427_73385009_-	chr14	73385009	73368427	-	5833
ENSMUSG00000021998.16	chr14_75212526_75214484_+	chr14	75212526	75214484	+	243
ENSMUSG00000021998.16	chr14_75214563_75215108_+	chr14	75214563	75215108	+	269
ENSMUSG00000021998.16	chr14_75215223_75216327_+	chr14	75215223	75216327	+	298
ENSMUSG00000021998.16	chr14_75216461_75224070_+	chr14	75216461	75224070	+	436
ENSMUSG00000021998.16	chr14_75224194_75226966_+	chr14	75224194	75226966	+	238
ENSMUSG00000021998.16	chr14_75227091_75229205_+	chr14	75227091	75229205	+	398
ENSMUSG00000021998.16	chr14_75200509_75202635_+	chr14	75200509	75202635	+	204
ENSMUSG00000005148.8	chr14_99302254_99303417_+	chr14	99302254	99303417	+	328
ENSMUSG00000005148.8	chr14_99303477_99313150_+	chr14	99303477	99313150	+	161
ENSMUSG00000041841.8	chr15_5116684_5117286_+	chr15	5116684	5117286	+	1056
ENSMUSG00000041841.8	chr15_5117422_5117618_+	chr15	5117422	5117618	+	911
ENSMUSG00000041841.8	chr15_5117703_5118566_+	chr15	5117703	5118566	+	1183
ENSMUSG00000022205.15	chr15_11984297_11986455_-	chr15	11986455	11984297	-	728
ENSMUSG00000022205.15	chr15_11986564_11990958_-	chr15	11990958	11986564	-	612
ENSMUSG00000022205.15	chr15_11991081_11993788_-	chr15	11993788	11991081	-	444
ENSMUSG00000022205.15	chr15_11993861_11995950_-	chr15	11995950	11993861	-	859
ENSMUSG00000022234.15	chr15_31591055_31592284_-	chr15	31592284	31591055	-	477
ENSMUSG00000022234.15	chr15_31592465_31592645_-	chr15	31592645	31592465	-	627
ENSMUSG00000022234.15	chr15_31592783_31592866_-	chr15	31592866	31592783	-	681
ENSMUSG00000022234.15	chr15_31593052_31593514_-	chr15	31593514	31593052	-	818
ENSMUSG00000022234.15	chr15_31593634_31594096_-	chr15	31594096	31593634	-	684
ENSMUSG00000022234.15	chr15_31594246_31594333_-	chr15	31594333	31594246	-	596
ENSMUSG00000022234.15	chr15_31594526_31595644_-	chr15	31595644	31594526	-	682
ENSMUSG00000022234.15	chr15_31595843_31597410_-	chr15	31597410	31595843	-	586
ENSMUSG00000022234.15	chr15_31597575_31597999_-	chr15	31597999	31597575	-	411
ENSMUSG00000022234.15	chr15_31598060_31601600_-	chr15	31601600	31598060	-	373
ENSMUSG00000058600.13	chr15_34440604_34441231_-	chr15	34441231	34440604	-	1668
ENSMUSG00000058600.13	chr15_34441362_34442634_-	chr15	34442634	34441362	-	1623
ENSMUSG00000058600.13	chr15_34443077_34443184_-	chr15	34443184	34443077	-	2204
ENSMUSG00000014313.15	chr15_35932097_35935284_-	chr15	35935284	35932097	-	3286
ENSMUSG00000014313.15	chr15_35935413_35937154_-	chr15	35937154	35935413	-	2041
ENSMUSG00000014313.15	chr15_35937284_35938124_-	chr15	35938124	35937284	-	2718
ENSMUSG00000022283.15	chr15_36596099_36596562_-	chr15	36596562	36596099	-	783
ENSMUSG00000022283.15	chr15_36596655_36596963_-	chr15	36596963	36596655	-	1562
ENSMUSG00000022283.15	chr15_36597094_36597456_-	chr15	36597456	36597094	-	868
ENSMUSG00000022283.15	chr15_36597541_36597972_-	chr15	36597972	36597541	-	1125
ENSMUSG00000022283.15	chr15_36598127_36598201_-	chr15	36598201	36598127	-	691
ENSMUSG00000022283.15	chr15_36598312_36598951_-	chr15	36598951	36598312	-	705
ENSMUSG00000022283.15	chr15_36599042_36599204_-	chr15	36599204	36599042	-	555
ENSMUSG00000022285.17	chr15_36775579_36776245_-	chr15	36776245	36775579	-	535
ENSMUSG00000022285.17	chr15_36776369_36790683_-	chr15	36790683	36776369	-	606
ENSMUSG00000022285.17	chr15_36772777_36775238_-	chr15	36775238	36772777	-	1027
ENSMUSG00000022285.17	chr15_36775334_36775415_-	chr15	36775415	36775334	-	1050
ENSMUSG00000022285.17	chr15_36790988_36793478_-	chr15	36793478	36790988	-	274
ENSMUSG00000022378.14	chr15_63931679_63935578_-	chr15	63935578	63931679	-	141
